,year_50,year_100
Schriftsteller,4.0,4.0
Historiker,3.0,3.0
Heiliger,3.0,2.0
Politiker,2.0,2.0
Redner,2.0,2.0
Feldherr,2.0,
Philosoph,2.0,4.0
Arzt,2.0,1.0
Anglistin,1.0,1.0
Schriftgelehrter,1.0,1.0
Offizier,1.0,1.0
Rabbiner,1.0,1.0
Beamter,1.0,1.0
Agraringenieur,1.0,1.0
Hofrat,1.0,1.0
Satiriker,1.0,
Bürgermeister,1.0,1.0
Abgeordneter,1.0,1.0
Märtyrer,1.0,
Adel,1.0,1.0
Bischof,1.0,
König,1.0,1.0
Pharmakologe,1.0,
Erfinder,1.0,1.0
Rechtsanwalt,,3.0
Geschichtsschreiber,,2.0
Statthalter,,1.0
Biograf,,1.0
Naturwissenschaftler,,1.0
Märtyrerin,,1.0
Kirchenhistoriker,,1.0
Privatgelehrter,,1.0
Philologe,,1.0
Verwaltungsbeamter,,1.0
Geograf,,1.0
Astronom,,1.0
Heilige,,1.0
Senator,,1.0
