,year,Resource,PerName,MeetName,UniTitle
0,0,19928,444.0,339.0,
1,50,15,18.0,1.0,
2,100,5,20.0,,
3,150,47,31.0,,
4,200,13,34.0,6.0,
5,250,2,34.0,1.0,
6,300,13,52.0,1.0,
7,350,3,46.0,3.0,
8,400,8,53.0,1.0,
9,450,18,57.0,2.0,
10,500,32,56.0,,
11,550,33,57.0,1.0,
12,600,99,70.0,,
13,650,249,60.0,1.0,
14,700,52,80.0,,
15,750,38,94.0,1.0,
16,800,253,103.0,,1.0
17,850,12,92.0,6.0,
18,900,89,119.0,7.0,
19,950,6,172.0,148.0,
20,1000,95,229.0,7.0,
21,1050,27,293.0,3.0,6.0
22,1100,79,298.0,2.0,
23,1150,29,398.0,6.0,2.0
24,1200,79,411.0,2.0,12.0
25,1250,241,531.0,1.0,13.0
26,1300,1162,573.0,2.0,14.0
27,1350,741,742.0,2.0,8.0
28,1400,598,1249.0,8.0,14.0
29,1450,3094,2463.0,11.0,17.0
30,1500,41175,4840.0,17.0,70.0
31,1550,93215,10913.0,33.0,100.0
32,1600,107725,17871.0,22.0,113.0
33,1650,151450,18661.0,9.0,113.0
34,1700,172668,21594.0,9.0,202.0
35,1750,274207,34171.0,17.0,419.0
36,1800,513330,62458.0,56.0,375.0
37,1850,975718,113264.0,688.0,352.0
38,1900,3214440,258748.0,4273.0,1874.0
39,1950,9327726,753336.0,53383.0,4858.0
40,2000,7268540,1034.0,259765.0,
41,2050,48,,,
