year,GeoPer_GND,MeetPer_GND,UniPer_GND,ResPer_KPE,ResPer_DNB,ResPer_SBB,ResPer_ZDB,CorpPer_GND,CorpPer_Comp,PerPer_GND,PerPer_Comp
1300,524,1,0,63,0,279,0,37,1064,702,17681
1350,848,1,0,187,5,165,0,69,1420,1109,20683
1400,1726,3,0,315,1,57,0,131,3959,2618,50025
1450,4752,22,2,526,534,1581,0,300,21925,12618,353956
1500,10697,5,34,8305,1834,56243,0,678,34204,27591,550226
1550,22093,10,75,21014,1958,124977,75,1596,51703,32521,519222
1600,30623,12,114,17463,4684,106229,184,2114,46835,23613,562249
1650,40342,8,112,18231,8621,158195,272,2942,173917,25497,1005118
1700,44923,33,200,31744,2731,188494,688,4131,174603,22969,1284020
1750,58303,39,498,37085,5460,243031,2698,5838,480588,26557,3234192
1800,112284,78,329,88089,19829,306092,2000,15028,700292,36842,4045537
1850,250362,149,324,159976,48696,423267,887,31934,1347868,52829,6002491
1900,377549,412,1513,374273,672536,606673,1225,96905,3456657,52037,7816760
1950,466819,223,3468,464394,2199377,1146524,3237,175498,1438864,21216,3284483
2000,475,0,2175,11670,2587489,981548,3284,94,496,171,1002
